Feature,Mean |SHAP|
cat__CoverType_Own Damage,2.5163102
num__SumInsured,2.0218716
cat__CoverType_Fire and Theft,1.3396927
cat__CoverType_Factory Fitted Sound and Other Electronic Equipment,1.007169
cat__CoverType_Third Party,0.80264544
cat__CoverType_Standalone passenger liability,0.7345477
cat__CoverType_Third Party Only,0.65384805
cat__CoverType_Asset Value Preserver,0.603343
cat__CoverType_Mobility - Taxi with value more than R100 000 - R10 000,0.59461874
cat__CoverType_Baggage/Luggage,0.5433911
cat__CoverType_Mobility - Windscreen (Feb2015),0.5370891
cat__CoverType_Deposit Cover,0.52314484
cat__CoverType_Mobility - Metered Taxis - R5000,0.47185993
cat__make_SUZUKI,0.4381993
cat__CoverType_Basic Excess Waiver,0.3987078
cat__CoverType_Passenger Liability,0.38422957
cat__CoverType_Trailer,0.36287525
cat__make_Unknown,0.35603887
cat__make_Heavy Commercial,0.35076126
cat__make_Medium Commercial,0.35076126
cat__make_CHEVROLET,0.3099156
cat__CoverType_Mobility - Taxi with value less than R100 000 - R3 000,0.30682042
cat__make_FORD,0.30050153
num__VehicleAge,0.2999598
cat__CoverType_Signage and Vehicle Wraps,0.29979247
cat__make_PROTON,0.29149538
cat__CoverType_No excess,0.27817345
cat__CoverType_Income Protector,0.25927022
cat__CoverType_Emergency Charges,0.25016087
cat__CoverType_Accidental Death,0.24416605
cat__CoverType_Roadside Assistance,0.21573089
cat__VehicleType_Medium Commercial,0.20812507
cat__CoverType_Keys and Alarms,0.19761008
cat__Province_KwaZulu-Natal,0.19174656
cat__CoverType_Cleaning and Removal of Accident Debris,0.18847576
cat__make_MAZDA,0.18733267
cat__Province_Western Cape,0.17815681
cat__CoverType_Cash Takings,0.17580366
cat__make_C.A.M,0.17341949
cat__CoverType_Credit Protection,0.17124769
cat__make_HONDA,0.17041406
cat__make_NISSAN,0.15911141
cat__make_VOLVO,0.14992687
cat__make_GOLDEN JOURNEY,0.14473274
cat__make_KIA,0.10815272
cat__make_GEELY,0.10107959
cat__make_OPEL,0.09820481
cat__Province_Free State,0.095569916
cat__VehicleType_Bus,0.09536758
cat__Province_Eastern Cape,0.0928022
cat__Province_Gauteng,0.09260968
cat__make_BMW,0.090914525
cat__Province_Limpopo,0.08458822
cat__CoverType_Mobility - Taxi with value more than R100 000 - R5 000,0.083498895
cat__make_B.A.W,0.0832964
cat__Province_Mpumalanga,0.07709028
cat__Province_North West,0.07454238
cat__VehicleType_Heavy Commercial,0.07339659
cat__make_HUMMER,0.05942062
cat__Province_Northern Cape,0.059339534
cat__make_CITROEN,0.046952482
cat__VehicleType_Cape Mid West,0.046370506
cat__make_VOLKSWAGEN,0.043270897
cat__CoverType_Own Damage ,0.042715486
cat__VehicleType_Light Commercial,0.038062066
cat__make_TOYOTA,0.0362135
cat__make_MITSUBISHI,0.033812843
num__CustomValueEstimate,0.033382818
cat__make_RENAULT,0.033349846
cat__make_MERCEDES-BENZ,0.029763168
cat__make_NISSAN/DATSUN,0.027041962
cat__make_TATA,0.026819479
cat__make_JINBEI,0.02282175
cat__CoverType_Mobility - Windscreen,0.021530801
cat__make_SAIC,0.019589549
cat__VehicleType_Tembu 1,0.016748568
cat__make_CMC,0.016670238
cat__make_2014,0.015557265
cat__VehicleType_Cape Mid 2,0.015067148
cat__make_FIAT,0.014246332
cat__CoverType_Windscreen,0.013633154
cat__make_FOTON,0.013154897
cat__make_SCANIA,0.012761137
cat__VehicleType_Tembu 2,0.010267563
cat__make_AUDI,0.00906534
cat__VehicleType_Passenger Vehicle,0.008625818
cat__make_IVECO,0.005043358
cat__make_POLARSUN,0.0050317408
cat__VehicleType_60058400,0.0020805504
cat__make_HYUNDAI,0.002059842
cat__VehicleType_60058407,0.0015066713
num__ExcessSelected,0.00123168
cat__VehicleType_60058419,0.0005555075
cat__make_Passenger Vehicle,1.6809645e-06
cat__CoverType_5.4485,0.0
cat__CoverType_5.4433,0.0
cat__CoverType_5.4526,0.0
cat__CoverType_5.4375,0.0
cat__CoverType_5.5109,0.0
cat__CoverType_5.4528,0.0
cat__CoverType_5.4558,0.0
cat__CoverType_5.4741,0.0
cat__CoverType_5.4742,0.0
cat__CoverType_5.48,0.0
cat__CoverType_5.4888,0.0
cat__CoverType_5.4962,0.0
cat__CoverType_5.5057,0.0
cat__CoverType_5.5256,0.0
cat__CoverType_5.386,0.0
cat__CoverType_5.5329,0.0
cat__CoverType_5.5367,0.0
cat__CoverType_5.555,0.0
cat__CoverType_5.5552,0.0
cat__CoverType_5.5572,0.0
cat__CoverType_5.5645,0.0
cat__CoverType_5.5697,0.0
cat__CoverType_5.5843,0.0
cat__CoverType_5.5877,0.0
cat__CoverType_5.6211,0.0
cat__CoverType_5.623,0.0
cat__CoverType_5.6358,0.0
cat__CoverType_5.6431,0.0
cat__CoverType_5.6946,0.0
cat__CoverType_5.059,0.0
cat__CoverType_5.7313,0.0
cat__CoverType_5.3845,0.0
cat__CoverType_5.361,0.0
cat__CoverType_5.4183,0.0
cat__CoverType_5.3602,0.0
cat__CoverType_5.3492,0.0
cat__CoverType_5.4191,0.0
cat__CoverType_5.336,0.0
cat__CoverType_5.3345,0.0
cat__CoverType_5.3125,0.0
cat__CoverType_5.3639,0.0
cat__CoverType_5.2904,0.0
cat__CoverType_5.4283,0.0
cat__CoverType_5.2659,0.0
cat__CoverType_5.4286,0.0
cat__CoverType_5.4337,0.0
cat__CoverType_5.2537,0.0
cat__CoverType_5.1803,0.0
cat__CoverType_5.1355,0.0
cat__CoverType_5.1273,0.0
cat__CoverType_5.4338,0.0
cat__CoverType_5.12,0.0
cat__CoverType_5.1178,0.0
cat__CoverType_5.1067,0.0
cat__CoverType_5.4374,0.0
cat__CoverType_5.3731,0.0
cat__CoverType_5.3823,0.0
cat__CoverType_5.4014,0.0
cat__CoverType_5.4176,0.0
cat__CoverType_5.0759,0.0
cat__CoverType_5.7093,0.0
cat__CoverType_610.769,0.0
cat__CoverType_5.7497,0.0
cat__CoverType_6.7917,0.0
cat__CoverType_6.0884,0.0
cat__CoverType_6.1447,0.0
cat__CoverType_6.1502,0.0
cat__CoverType_6.1539,0.0
cat__CoverType_6.19,0.0
cat__CoverType_6.3396,0.0
cat__CoverType_6.3724,0.0
cat__CoverType_6.4515,0.0
cat__CoverType_6.5947,0.0
cat__CoverType_6.6131,0.0
cat__CoverType_6.6407,0.0
cat__CoverType_6.6478,0.0
cat__CoverType_6.76,0.0
cat__CoverType_6.8005,0.0
cat__CoverType_5.7827,0.0
cat__CoverType_6.8129,0.0
cat__CoverType_6.8148,0.0
cat__CoverType_6.8336,0.0
cat__CoverType_6.9437,0.0
cat__CoverType_6.9438,0.0
cat__CoverType_6.9548,0.0
cat__CoverType_6.9768,0.0
cat__CoverType_6.9804,0.0
cat__CoverType_6.9978,0.0
cat__CoverType_6.9982,0.0
cat__CoverType_60,0.0
cat__CoverType_600.7774,0.0
cat__CoverType_606.0932,0.0
cat__CoverType_6.062,0.0
cat__CoverType_5.037,0.0
cat__CoverType_599.8807,0.0
cat__CoverType_599.4328,0.0
cat__CoverType_5.8195,0.0
cat__CoverType_5.8783,0.0
cat__CoverType_5.882,0.0
cat__CoverType_5.9261,0.0
cat__CoverType_5.9334,0.0
cat__CoverType_5.961,0.0
cat__CoverType_5.9665,0.0
cat__CoverType_5.9885,0.0
cat__CoverType_50,0.0
cat__CoverType_507.2661,0.0
cat__CoverType_507.7785,0.0
cat__CoverType_522.1727,0.0
cat__CoverType_53.153,0.0
cat__CoverType_53.5651,0.0
cat__CoverType_54.1831,0.0
cat__CoverType_54.3891,0.0
cat__CoverType_543.0848,0.0
cat__CoverType_548.2573,0.0
cat__CoverType_548.9491,0.0
cat__CoverType_55.0072,0.0
cat__CoverType_569.9059,0.0
cat__CoverType_570.6745,0.0
cat__CoverType_570.8884,0.0
cat__CoverType_576.4389,0.0
cat__CoverType_581.9471,0.0
cat__CoverType_583.9198,0.0
cat__CoverType_584.6371,0.0
cat__CoverType_5.0572,0.0
cat__CoverType_4.7761,0.0
cat__CoverType_5.0333,0.0
cat__CoverType_4.1001,0.0
cat__CoverType_371.3246,0.0
cat__CoverType_372.041,0.0
cat__CoverType_374.7413,0.0
cat__CoverType_375.1106,0.0
cat__CoverType_375.8986,0.0
cat__CoverType_376.0431,0.0
cat__CoverType_376.9457,0.0
cat__CoverType_385.1636,0.0
cat__CoverType_385.3174,0.0
cat__CoverType_395.816,0.0
cat__CoverType_4.0297,0.0
cat__CoverType_4.0372,0.0
cat__CoverType_4.0413,0.0
cat__CoverType_4.1025,0.0
